Phase,Goal,Subgoal,Required capacity,human*,agent,agent*,human,Obs,Pred,Dir,TA1 Performer Role,TA1 supporter role,TA2 performer role,TA2 supporter role
3,Construct candidate themes,Distinguish central/peripheral concepts,"Prioritization, abstraction",green,yellow,orange,green,"Show frequency/coverage","Clarify ranking criteria","Promote, demote, exclude","Human prioritizes","Agent shows coverage","Agent ranks concepts","Human judges"
3,Construct candidate themes,Identify contradictions/tensions,"Deviance detection, ambiguity tolerance",green,green,yellow,green,"Show contradictory excerpts","Indicate uncertainty","Mark, reject, reframe tension","Human interprets tensions","Agent surfaces deviant cases","Agent detects contradictions","Human evaluates"
3,Construct candidate themes,Generate thematic structure,"Hierarchical organization, systems thinking",green,green,yellow,green,"Show theme hierarchy/evidence","Preview thematic consequences","Select, edit, restructure","Human builds structure","Agent proposes alternatives","Agent drafts structure","Human revises"
4,Review/refine themes,Verify coherence,"Internal consistency assessment",green,green,yellow,green,"Show within-theme variance","Flag weak coherence","Request checks, override","Human assesses coherence","Agent checks consistency","Agent tests coherence","Human interprets"
4,Review/refine themes,Compare themes to dataset,"Evidence tracing, dataset retrieval",yellow,green,green,yellow,"Show coverage/gaps","Indicate retrieval completeness","Request more data/recheck","Human audits evidence","Agent retrieves excerpts","Agent compares at scale","Human reviews"
4,Review/refine themes,Merge/split/discard themes,"Decision-making, restructuring",green,yellow,orange,green,"Show proposed changes","Preview before/after impact","Approve, reject, undo","Human decides restructuring","Agent suggests restructuring","Agent proposes changes","Human approves"
4,Review/refine themes,Identify weak themes,"Gap detection, critical appraisal",green,green,yellow,green,"Show weak evidence alerts","Predict reporting risk","Investigate, refine, mark acceptable","Human critiques coverage","Agent identifies gaps","Agent detects weak support","Human evaluates"
4,Review/refine themes,Reassess coding adequacy,"Recursive reasoning, audit capability",green,yellow,orange,green,"Show audit trail","Preview recoding needs","Recode, request audit, approve","Human reassesses coding","Agent flags inconsistencies","Agent audits coding","Human decides"
5,Define/name themes,Articulate thematic essence,"Conceptual articulation, synthesis",green,yellow,orange,green,"Show formulation and evidence","Mark abstraction level","Rewrite, approve","Human articulates essence","Agent drafts formulations","Agent drafts essence","Human validates"
5,Define/name themes,Clarify boundaries,"Differentiation, conceptual precision",green,yellow,orange,green,"Show overlaps and edge cases","Predict confusion points","Define inclusion/exclusion rules","Human defines boundaries","Agent compares overlaps","Agent proposes boundaries","Human resolves"
5,Define/name themes,Select supporting excerpts,"Evidence selection, representativeness judgment",green,green,green,yellow,"Show excerpt provenance","Rank representativeness","Choose, replace, exclude","Human selects excerpts","Agent retrieves candidates","Agent selects candidates","Human validates"
5,Define/name themes,Name themes,"Linguistic abstraction, communication",green,yellow,yellow,green,"Show name alternatives","Explain naming logic","Rename, select, edit","Human names themes","Agent suggests names","Agent proposes names","Human refines"
5,Define/name themes,Align themes with RQ,"Goal alignment, theoretical sensitivity",green,yellow,red,green,"Show RQ-theme mapping","Flag misalignment risk","Reframe theme/RQ","Human ensures alignment","Agent checks coverage","Agent flags possible alignment","Human determines"
6,Produce report,Integrate narrative,"Narrative construction, synthesis",green,yellow,orange,green,"Show outline/evidence links","Preview argument flow","Reorder, rewrite, approve","Human writes narrative","Agent drafts/structures","Agent drafts narrative","Human rewrites"
6,Produce report,Contextualize theoretically,"Theory integration, scholarly reasoning",green,yellow,red,green,"Show theory-source links","Flag speculative links","Accept/reject theory links","Human theorizes","Agent retrieves links","Agent suggests links","Human contextualizes"
6,Produce report,Justify interpretations,"Argumentation, evidence mapping",green,green,yellow,green,"Show claim-evidence chains","Flag unsupported inference","Revise, approve, rewrite","Human argues interpretation","Agent maps evidence","Agent drafts evidence chains","Human validates"
6,Produce report,Address reflexivity/limitations,"Meta-cognition, critical self-assessment",green,red,red,green,"Show reflexive prompts","Mark generic vs data-specific","Add, delete, refine","Human reflects critically","Agent prompts reminders","Agent lists possible limitations","Human appraises"
6,Produce report,Produce final artifact,"Communication, formatting, presentation",green,green,green,yellow,"Show edits/final changes","Preview final artifact","Approve, export, submit","Human authors final report","Agent formats/edits","Agent formats/drafts","Human approves"
